ordonne nbOccur taux indice
0 1 1.0 5
1 1 1.0 9
2 1 1.0 15
3 1 1.0 16
4 1 1.0 17
5 1 1.0 18
6 1 1.0 19
7 1 1.0 20
8 1 1.0 21
9 1 1.0 22
10 1 1.0 23
11 1 1.0 25
12 1 1.0 26
13 1 1.0 32
14 1 1.0 33
15 1 1.0 34
16 1 1.0 35
17 1 1.0 36
18 1 1.0 37
19 1 1.0 38
20 1 1.0 43
21 2 1.0 27
22 2 1.0 28
23 2 1.0 30
24 2 1.1428571939468384 10
25 2 1.1428571939468384 13
26 2 1.1428571939468384 44
27 2 1.3333333730697632 2
28 2 1.600000023841858 3
29 2 1.600000023841858 8
30 2 1.600000023841858 24
31 3 1.0 7
32 3 1.0 31
33 3 1.0909091234207153 12
34 3 1.0909091234207153 14
35 3 1.0909091234207153 42
36 3 1.5 40
37 4 1.1428571939468384 6
38 4 1.600000023841858 29
39 4 1.7777777910232544 0
40 5 1.6666666269302368 11
41 6 1.3333333730697632 1
42 6 2.4000000953674316 45
43 7 1.4736841917037964 4
44 7 2.153846263885498 41
45 14 3.5 39
