ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
2 3 0 1 1.0 '0000100100000000000000000000000000000 '0.054054055362939835 '00000000000000000000000000000000000000000000004000000000000000a0
2 4 1 2 1.3333333730697632 '0000000000102100000000000000000000000 '0.0810810774564743 '000000000000000000000000000000000000000000000000000000000000000000000000000000c40000000000000038
2 2 2 5 1.1111111640930176 '0200101010000000001101000000000000110 '0.2432432472705841 '0000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000e8
2 1 3 6 1.0 '1011010110000000000100001001011100000 '0.3243243098258972 '0000000000000000000000000000000000000000000000000000000000000000000000000000001400000000000000e0
2 0 4 9 1.0 '1111111111111111110000000000000000000 '0.4864864945411682 '000000000000000000000000000000000000000000000000000000000000002800000000000000d0
2 5 5 18 2.117647171020508 '0000000000000000001032231323330122221 '0.45945945382118225 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c00000000000000e2
3 4 0 1 1.0 '0100000000000000001001000000000000000 '0.0810810774564743 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000071000000000000000f
3 7 1 1 1.0 '0001001000000000000100000000000000000 '0.0810810774564743 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000900000000000000e4
3 8 2 1 1.0 '0000100100000000010000000000000000000 '0.0810810774564743 '000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000062000000000000001c
3 9 3 1 1.0 '0000100100000000000000000000000000100 '0.0810810774564743 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000c00000000000000e2
3 10 4 1 1.0 '0000100100001000000000000000000000000 '0.0810810774564743 '00000000000000000000000000000000000000000000000000000000000000000000000000000012000000000000002800000000000000c8
3 11 5 1 1.0 '0000100100000000000000000000010000000 '0.0810810774564743 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009000000000000001400000000000000e0
3 13 6 1 1.0 '0000000010000000000000001000000000010 '0.0810810774564743 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008010000000000000000e00000000000000e1
3 14 7 1 1.0 '0000000000101100000000000000000000000 '0.0810810774564743 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008030000000000000800c00000000000000c3
3 12 8 2 1.0 '0000010100000000001001000001010000000 '0.1621621549129486 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008010000000000000000e00000000000080e0
3 6 9 3 1.0 '0100100010000000000001000110010000110 '0.2432432472705841 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000f0000000000008070
3 17 10 3 1.2857142686843872 '0000000000000000000021000201110000100 '0.18918919563293457 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c000000000000800300000000000060e0
3 5 11 4 1.0909091234207153 '0200100010000000001001010001010010110 '0.29729729890823364 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e00000000000080e1
3 16 12 4 1.0909091234207153 '0000000000000000000010011101210011110 '0.29729729890823364 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000401c000000000000c003
3 1 13 4 2.0 '1000000210204200000000000000000000000 '0.1621621549129486 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021000000000000001900000000000000c6
3 3 14 5 1.1538461446762085 '0200101012000101011101000000000000110 '0.3513513505458832 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000e00000000000000e2
3 0 15 6 1.0 '1011010110111110100100001001011100000 '0.4864864945411682 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c00000000000080600000000000000083
3 2 16 6 1.2857142686843872 '1000020210000000000010111102120100100 '0.37837839126586914 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004010000000000000000e00000000000080e0
3 15 17 18 3.1764705181121826 '0000000000000000002054231535450134322 '0.45945945382118225 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000c003000000000000201c
4 5 0 1 1.0 '0100000001000000001001000000000000000 '0.10810811072587967 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202000000000000040c0000000000000401c000000000000c003
4 9 1 1 1.0 '0100000000000000001001000100000000000 '0.10810811072587967 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000e001000000000000200e0000000000001070
4 15 2 1 1.0 '0001001000000010000100000000000000000 '0.10810811072587967 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000400c000000000000a00200000000000000e1
4 16 3 1 1.0 '0001001000000001000100000000000000000 '0.10810811072587967 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040080000000000002010000000000000000700000000000000e1
4 17 4 1 1.0 '0000100100000000010000000000000000100 '0.10810811072587967 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000004003000000000000801800000000000080e0
4 18 5 1 1.0 '0000100100001000010000000000000000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081000000000000006200000000000040180000000000008006
4 19 6 1 1.0 '0000100100000000010000000000010000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808000000000000000700000000000002003000000000000400c
4 20 7 1 1.0 '0000100100001000000000000000000000100 '0.10810811072587967 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080080000000000004010000000000000800600000000000000e1
4 21 8 1 1.0 '0000100100000000000000000000010000100 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020010000000000008010000000000000100e00000000000040e0
4 22 9 1 1.0 '0000100100000000000000010000000000100 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000008008000000000000000700000000000060e0
4 23 10 1 1.0 '0000100100001000000000000000010000000 '0.10810811072587967 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008080000000000000604000000000000000380000000000008006
4 25 11 1 1.0 '0000100100000000000010000000010000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000008010000000000000000e00000000000020e0
4 26 12 1 1.0 '0000100100000000000001000000010000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020010000000000008010000000000000000e00000000000020e0
4 32 13 1 1.0 '0000000100101100000000000000000000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202000000000000020180000000000002006000000000000c0c1
4 33 14 1 1.0 '0000000100000000000001000100010000000 '0.10810811072587967 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100200000000000000e0000000000000d001000000000000081c
