ordonne nbOccur taux indice
1 2 1.4285714285714286 15
2 2 1.4285714285714286 28
3 2 1.4285714285714286 30
4 2 1.6666666666666667 32
5 2 1.6666666666666667 40
6 2 1.25 41
7 2 1.25 42
8 2 1.6666666666666667 49
9 3 1.3636363636363635 24
10 3 1.3636363636363635 29
11 3 2.142857142857143 43
12 3 1.875 45
13 3 2.142857142857143 51
14 4 1.8181818181818181 21
15 4 1.8181818181818181 27
16 5 1.7857142857142858 14
17 5 1.5625 18
18 5 1.5625 19
19 6 2.5 16
20 6 3.0 37
21 7 2.1875 20
22 7 2.9166666666666665 34
23 10 3.125 13
24 11 3.235294117647059 22
25 13 3.611111111111111 17
26 13 3.25 23
