ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
3 0 0 1 1 '1.00.00.01.01.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0 '0.1111111111111111 '000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000062000000000000001c
3 1 1 1 1 '1.00.00.01.00.00.00.01.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0 '0.1111111111111111 '00000000000000000000000000000000000000000000000000000000000000000000000000000012000000000000002800000000000000c8
3 2 2 1 1 '1.00.00.01.00.00.00.00.00.00.00.00.00.01.00.00.00.00.00.00.00.00.00.00.00.00.00.0 '0.1111111111111111 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009000000000000001400000000000000e0
3 10 3 1 1 '0.00.00.01.00.00.00.00.00.00.01.00.00.01.00.00.00.00.00.00.00.00.00.00.00.00.00.0 '0.1111111111111111 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008010000000000000000e00000000000080e0
3 11 4 1 1 '0.00.00.00.00.00.01.00.00.00.00.00.01.00.00.00.00.00.01.00.00.00.00.00.00.00.00.0 '0.1111111111111111 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040c000000000000080070000000000004038
3 14 5 1 1 '0.00.00.00.00.00.00.00.00.00.00.00.01.00.00.01.00.00.01.00.00.00.00.00.00.00.00.0 '0.1111111111111111 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c000000000000800300000000000060e0
3 7 6 2 1 '0.01.01.00.00.00.00.00.00.01.00.00.00.00.00.00.01.00.00.00.00.01.00.01.00.00.00.0 '0.2222222222222222 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000071000000000000000f
3 3 7 3 1 '0.01.01.01.00.01.00.01.01.00.00.01.00.01.01.00.00.00.00.00.00.00.00.00.00.00.00.0 '0.3333333333333333 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c00000000000080600000000000000083
3 6 8 3 1 '0.01.01.01.00.00.00.00.00.00.00.01.00.01.01.01.00.01.00.00.00.00.00.00.00.01.00.0 '0.3333333333333333 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004010000000000000000e00000000000080e0
3 8 9 3 1 '0.02.01.00.00.00.00.00.00.01.00.00.00.00.00.00.01.00.00.01.01.01.00.01.00.00.00.0 '0.2962962962962963 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e00000000000080e1
3 13 10 3 1 '0.00.00.00.00.00.00.00.00.00.00.01.01.00.00.01.01.00.00.01.01.00.00.01.01.01.00.0 '0.3333333333333333 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000401c000000000000c003
3 4 11 4 1 '0.02.02.00.00.02.00.00.02.01.00.00.00.00.00.00.01.00.00.00.00.01.00.01.00.00.00.0 '0.2962962962962963 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000e00000000000000e2
3 5 12 4 1 '0.02.02.00.00.00.00.00.00.01.00.02.00.00.02.00.01.00.00.00.00.01.00.01.00.00.00.0 '0.2962962962962963 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008010000000000000000e00000000000000e1
3 9 13 5 1 '0.03.02.00.00.00.00.00.00.01.00.00.00.00.00.01.03.00.00.01.00.01.01.01.01.00.00.0 '0.37037037037037035 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000f0000000000008070
3 12 14 13 2 '0.00.00.00.00.00.00.00.00.02.01.01.01.01.01.03.04.01.00.03.05.02.01.04.03.02.04.0 '0.6296296296296297 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000c003000000000000201c
