ordonne nbOccur taux indice
1 2 1.4545454545454546 499
2 2 1.7777777777777777 501
3 2 1.4545454545454546 502
4 2 1.6 506
5 2 1.7777777777777777 507
6 2 1.6 521
7 2 1.6 522
8 2 1.4545454545454546 524
9 2 1.1428571428571428 525
10 2 1.6 528
11 2 1.6 533
12 2 1.6 535
13 2 1.6 543
14 2 1.1428571428571428 547
15 2 1.1428571428571428 548
16 2 1.3333333333333333 551
17 2 1.3333333333333333 560
18 2 1.7777777777777777 566
19 2 1.3333333333333333 568
20 2 1.1428571428571428 574
21 2 1.1428571428571428 575
22 2 1.4545454545454546 579
23 2 1.6 583
24 2 1.3333333333333333 588
25 2 1.3333333333333333 590
26 2 1.7777777777777777 596
27 2 1.1428571428571428 597
28 2 1.1428571428571428 598
29 2 1.3333333333333333 603
30 2 1.7777777777777777 606
31 2 1.7777777777777777 609
32 2 1.3333333333333333 617
33 2 1.3333333333333333 618
34 2 1.7777777777777777 635
35 2 1.6 641
36 2 1.6 643
37 2 1.3333333333333333 650
38 2 1.3333333333333333 652
39 2 1.6 660
40 2 1.3333333333333333 667
41 2 1.3333333333333333 668
42 2 1.6 670
43 2 1.6 678
44 2 1.2307692307692308 685
45 2 1.2307692307692308 687
46 2 1.7777777777777777 689
47 2 1.7777777777777777 692
48 2 1.7777777777777777 693
49 2 1.3333333333333333 694
50 2 1.7777777777777777 710
51 2 1.7777777777777777 713
52 2 1.7777777777777777 721
53 2 1.4545454545454546 724
54 2 1.6 728
55 2 1.4545454545454546 729
56 2 1.7777777777777777 731
57 2 1.7777777777777777 745
58 2 1.7777777777777777 753
59 2 1.7777777777777777 756
60 2 1.7777777777777777 766
61 2 1.7777777777777777 768
62 2 1.7777777777777777 771
63 2 1.7777777777777777 782
64 2 1.7777777777777777 785
65 2 1.7777777777777777 800
66 2 1.7777777777777777 805
67 2 1.7777777777777777 811
68 2 1.7777777777777777 815
69 2 1.7777777777777777 818
70 2 1.3333333333333333 820
71 2 1.6 828
72 2 1.7777777777777777 839
73 2 1.7777777777777777 873
74 2 1.6 880
75 2 1.7777777777777777 883
76 2 1.7777777777777777 887
77 2 1.7777777777777777 891
78 2 1.7777777777777777 894
79 2 1.7777777777777777 895
80 2 1.7777777777777777 901
81 2 1.7777777777777777 905
82 2 1.7777777777777777 908
83 2 1.7777777777777777 910
84 2 1.7777777777777777 913
85 2 1.7777777777777777 918
86 2 1.6 934
87 2 1.7777777777777777 935
88 2 1.6 937
89 2 1.7777777777777777 943
90 2 1.7777777777777777 949
91 2 1.7777777777777777 953
92 2 1.7777777777777777 965
93 2 1.3333333333333333 974
94 2 1.3333333333333333 976
95 2 1.6 983
96 2 1.2307692307692308 985
97 2 1.2307692307692308 986
98 2 1.7777777777777777 987
99 2 1.3333333333333333 989
100 2 1.6 995
101 2 1.6 997
102 2 1.6 1002
103 2 1.7777777777777777 1009
104 2 1.7777777777777777 1018
105 2 1.7777777777777777 1022
106 2 1.7777777777777777 1026
107 2 1.7777777777777777 1031
108 2 1.7777777777777777 1033
109 2 1.6 1041
110 2 1.7777777777777777 1066
111 2 1.7777777777777777 1068
112 2 1.7777777777777777 1075
113 2 1.7777777777777777 1076
114 2 1.7777777777777777 1079
115 2 1.7777777777777777 1083
116 2 1.7777777777777777 1087
117 2 1.7777777777777777 1088
118 2 1.7777777777777777 1090
119 2 1.7777777777777777 1091
120 2 1.7777777777777777 1093
121 2 1.7777777777777777 1096
122 2 1.7777777777777777 1102
123 2 1.7777777777777777 1142
124 2 1.7777777777777777 1150
125 2 1.7777777777777777 1156
126 2 1.7777777777777777 1157
127 2 1.7777777777777777 1160
128 3 2.1818181818181817 546
129 3 2.1818181818181817 549
130 3 1.6 557
131 3 1.8461538461538463 563
132 3 2.1818181818181817 569
133 3 2.1818181818181817 576
134 3 2.1818181818181817 577
135 3 1.5 601
136 3 1.411764705882353 602
137 3 1.6 611
138 3 2.1818181818181817 716
139 3 2.1818181818181817 751
140 3 2.4 759
141 3 2.1818181818181817 790
142 3 2.4 795
143 3 2.4 814
144 3 1.7142857142857142 830
145 3 1.7142857142857142 834
146 3 2.4 867
147 3 2.4 881
148 3 2.4 957
149 3 2.4 1118
150 4 2.2857142857142856 503
151 4 2.0 515
152 4 2.0 519
153 4 2.0 562
154 4 2.2857142857142856 580
155 4 2.2857142857142856 612
156 4 2.0 616
157 4 2.0 636
158 4 2.909090909090909 697
