ordonne nbOccur taux indice
0 1 1.0 11
1 1 1.0 20
2 1 1.0 22
3 1 1.0 23
4 1 1.0 24
5 1 1.0 26
6 1 1.0 27
7 1 1.0 30
8 1 1.0 34
9 1 1.0 37
10 1 1.0 38
11 1 1.0 40
12 1 1.0 42
13 1 1.0 43
14 1 1.0 44
15 2 1.1111111640930176 17
16 2 1.25 12
17 2 1.25 31
18 2 1.4285714626312256 19
19 2 1.4285714626312256 29
20 2 1.4285714626312256 32
21 2 1.6666666269302368 28
22 2 1.6666666269302368 41
23 3 1.1538461446762085 7
24 3 1.1538461446762085 15
25 3 1.1538461446762085 18
26 3 1.25 3
27 3 1.3636363744735718 39
28 3 1.5 25
29 3 1.6666666269302368 0
30 4 1.6666666269302368 8
31 4 1.8181818723678589 4
32 4 1.8181818723678589 21
33 4 2.0 10
34 4 2.0 33
35 5 1.6666666269302368 9
36 5 2.0833332538604736 5
37 5 2.0833332538604736 36
38 5 2.5 13
39 6 2.0 6
40 6 2.142857074737549 2
41 6 2.307692289352417 1
42 6 2.5 14
43 7 2.1875 16
44 8 3.3333332538604736 35
