ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
5 11 0 1 1.0 '1000010001100100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000090000000000008004000000000000800200000000000000e1
5 20 1 1 1.0 '0100001001010100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000080000000000009002000000000000401100000000000040e0
5 22 2 1 1.0 '0100001000010110000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000010040000000000002010000000000000800300000000000080e0
5 23 3 1 1.0 '0100011000010100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000010040000000000000011000000000000c00200000000000080e0
5 24 4 1 1.0 '0010010011000100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000010080000000000000005000000000000000300000000000080e1
5 26 5 1 1.0 '0010010001100100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000020040000000000002002000000000000100900000000000020e0
5 27 6 1 1.0 '0011010001000100000 '0.2631579041481018 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004080000000000004004000000000000488000000000000090030000000000004070
5 30 7 1 1.0 '0001000100001000110 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000000000020000000000003008000000000000801100000000000040e0
5 34 8 1 1.0 '0000010001101100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000044000000000000802000000000000000120000000000008008
5 37 9 1 1.0 '0000011001010100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000014000000000000800800000000000000440000000000000083
5 38 10 1 1.0 '0000011000110100000 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000010000000000000800800000000000000420000000000000085
5 40 11 1 1.0 '0000000100001001110 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000010000000000000400800000000000000410000000000000086
5 42 12 1 1.0 '0000000010101000110 '0.2631579041481018 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000200000000000000014000000000000000a0000000000000086
5 43 13 1 1.0 '0000000010001000111 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000010000000000000000a00000000000000440000000000000085
5 44 14 1 1.0 '0000000000101000111 '0.2631579041481018 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000010000000000000000a00000000000000410000000000000085
5 17 15 2 1.1111111640930176 '1001010001201100101 '0.4736842215061188 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000030000000000008008000000000000900400000000000020e0
5 12 16 2 1.25 '1111021002100000000 '0.42105263471603394 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020080000000000000404000000000000488000000000000090030000000000002070
5 31 17 2 1.25 '0000110210101000210 '0.42105263471603394 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000044000000000000002400000000000000120000000000000009
5 19 18 2 1.4285714626312256 '1010000010102000220 '0.3684210479259491 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000040000000000001009000000000000801100000000000040e0
5 29 19 2 1.4285714626312256 '0011012001020200000 '0.3684210479259491 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000010040000000000008010000000000000400300000000000080e0
5 32 20 2 1.4285714626312256 '0000110010102000220 '0.3684210479259491 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000020000000000000801000000000000000440000000000000086
5 28 21 2 1.6666666269302368 '0020021002010200000 '0.31578946113586426 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000030000000000000005000000000000800800000000000000e1
5 41 22 2 1.6666666269302368 '0000000210102000220 '0.31578946113586426 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000020000000000000401000000000000000440000000000000086
5 7 23 3 1.1538461446762085 '1011120111101100210 '0.6842105388641357 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000100400000000000000110000000000001003000000000000a0e0
5 15 24 3 1.1538461446762085 '1011121011101100210 '0.6842105388641357 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000050000000000002002000000000000100900000000000020e0
5 18 25 3 1.1538461446762085 '1011010211111100210 '0.6842105388641357 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000030000000000008008000000000000100500000000000020e0
5 3 26 3 1.25 '1011120121201000110 '0.6315789222717285 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000080000000000001005000000000000900200000000000060e0
5 39 27 3 1.3636363744735718 '0000012101021220111 '0.5789473652839661 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000010000000000000000a00000000000040400000000000000085
5 25 28 3 1.5 '0021221122000101000 '0.5263158082962036 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000010080000000000000005000000000000800200000000000080e1
5 0 29 3 1.6666666269302368 '2031120121200000000 '0.4736842215061188 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040800000000000008100000000000002404000000000000a00300000000000050e0
5 8 30 4 1.6666666269302368 '2132131012201000010 '0.6315789222717285 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000c400000000000000284000000000000010070000000000002038
5 4 31 4 1.8181818723678589 '2132231122100000000 '0.5789473652839661 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000840000000000000004080000000000004810000000000000100700000000000060e0
5 21 32 4 1.8181818723678589 '0112031102303000102 '0.5789473652839661 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000030000000000008008000000000000500400000000000020e0
5 10 33 4 2.0 '2132032003210100000 '0.5263158082962036 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004080000000000001004000000000000488000000000000090030000000000004070
5 33 34 4 2.0 '0000031102412200202 '0.5263158082962036 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000004400000000000080200000000000000012000000000000000a
5 9 35 5 1.6666666269302368 '1112121221202100420 '0.7894737124443054 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000030000000000000005000000000000900800000000000020e0
5 5 36 5 2.0833332538604736 '2021242123220200000 '0.6315789222717285 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100200000000000010080000000000002004000000000000001100000000000080e1
5 36 37 5 2.0833332538604736 '0000030212313212410 '0.6315789222717285 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000240000000000000014000000000000000a0000000000008040
5 13 38 5 2.5 '2021043003240220000 '0.5263158082962036 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000090000000000008004000000000000400200000000000000e1
5 6 39 6 2.0 '1032251233301101110 '0.7894737124443054 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000100400000000000020100000000000001003000000000000a0e0
5 2 40 6 2.142857074737549 '1032251243200101120 '0.7368420958518982 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000100400000000000080100000000000001003000000000000a0e0
