ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
4 3 0 5 1.0526315789473684 '21111011010110100001101100000101000100100000 '000000000000004000000000000000a000000000000000500000000000000020
4 2 1 6 1.263157894736842 '11221111011002111221001000000001000000000000 '000000000000004000000000000000b000000000000000400000000000000040
4 5 2 7 1.12 '00000000000010100001121121111121010111111111 '00000000000000100000000000000010000000000000001000000000000000e0
4 0 3 18 2.057142857142857 '12234244244222202222212211000222010211211000 '0000000000000040000000000000009000000000000000100000000000000060
4 1 4 18 2.769230769230769 '33444445354314213322102000000102000100100000 '0000000000000060000000000000009000000000000000800000000000000040
4 4 5 22 2.6666666666666665 '00002221124012111331853441411763341000000411 '00000000000000300000000000000010000000000000008000000000000000c0
5 7 0 4 1.0526315789473684 '11111011010002101101101000000101000100100000 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 10 1 4 1.1764705882352942 '00002011121002101101101000000101000100100000 '00000000000000300000000000000010000000000000008800000000000000c00000000000000020
5 0 2 4 1.3333333333333333 '12231111112001001110000000000000000000000000 '00000000000000200000000000000010000000000000008800000000000000480000000000000030
5 11 3 5 1.0416666666666667 '00001011010110100001111111000121010111111000 '00000000000000400000000000000088000000000000000800000000000000080000000000000070
5 5 4 5 1.1363636363636365 '21112111111210100001101100000101000100100000 '00000000000000600000000000000090000000000000008000000000000000480000000000000010
5 9 5 5 1.3157894736842106 '00001110012001110220211000100221110000000000 '000000000000002800000000000000180000000000000080000000000000004000000000000000c0
5 6 6 6 1.4285714285714286 '11221212122102111221001000000001000000000000 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 3 7 7 1.75 '11232221124002111331001000000001000000000000 '00000000000000400000000000000098000000000000001000000000000000600000000000000040
5 13 8 7 1.9444444444444444 '00000000000010000000432221211342120000000211 '000000000000001800000000000000080000000000000008000000000000008000000000000000e0
5 8 9 10 1.7857142857142858 '42222022020220200002212211000222010211211000 '000000000000004000000000000000a0000000000000004800000000000000080000000000000030
5 2 10 12 1.875 '12224241124112111331313110100323110000000100 '00000000000000400000000000000090000000000000001800000000000000600000000000000020
5 4 11 12 2.727272727272727 '22442424244223224342001000000001000000000000 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 12 12 15 3.125 '00000110001020000110864442422673242000000422 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 1 13 16 2.5806451612903225 '12234356355106204422212000000222010211211000 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
