ordonne nbOccur taux indice
0 1 1.0 0
1 1 1.0 1
2 1 1.0 2
3 1 1.0 3
4 1 1.0 4
5 1 1.0 5
6 1 1.0 10
7 1 1.0 13
8 1 1.0 15
9 1 1.0 17
10 1 1.0 21
11 1 1.0 27
12 1 1.0 29
13 1 1.0 31
14 1 1.0 32
15 1 1.0 33
16 1 1.0 35
17 1 1.0 36
18 1 1.0 39
19 1 1.0 40
20 1 1.0 43
21 1 1.0 44
22 1 1.0 45
23 1 1.0 47
24 1 1.0 49
25 1 1.0 51
26 1 1.0 52
27 1 1.0 53
28 1 1.0 54
29 1 1.0 56
30 1 1.0 57
31 1 1.0 58
32 1 1.0 59
33 1 1.0 60
34 1 1.0 61
35 1 1.0 62
36 1 1.0 63
37 1 1.0 64
38 1 1.0 65
39 1 1.0 68
40 1 1.0 71
41 2 1.0 6
42 2 1.0 11
43 2 1.0 19
44 2 1.0 72
45 2 1.1111111111111112 12
46 2 1.1111111111111112 20
47 2 1.1111111111111112 34
48 2 1.1111111111111112 37
49 2 1.1111111111111112 41
50 2 1.1111111111111112 55
51 2 1.25 38
52 2 1.25 69
53 2 1.4285714285714286 25
54 2 1.6666666666666667 23
55 2 1.6666666666666667 46
56 3 1.25 8
57 3 1.3636363636363635 24
58 3 1.3636363636363635 48
59 3 1.6666666666666667 50
60 4 1.5384615384615385 16
61 4 1.5384615384615385 28
62 4 1.6666666666666667 7
63 4 1.6666666666666667 70
64 4 1.8181818181818181 14
65 4 1.8181818181818181 22
66 4 1.8181818181818181 66
67 5 1.7857142857142858 9
68 5 1.9230769230769231 18
69 5 1.9230769230769231 26
70 5 2.0833333333333335 30
71 5 2.0833333333333335 42
72 8 2.857142857142857 67
