ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
3 0 0 1 1.0 '100110000000000000000000000 '0.1111111111111111 '000000000000000000000000000000a00000000000000040
3 1 1 1 1.0 '100100010000000000000000000 '0.1111111111111111 '000000000000002000000000000000800000000000000080
3 2 2 1 1.0 '100100000000010000000000000 '0.1111111111111111 '000000000000002000000000000000800000000000000000
3 10 3 1 1.0 '000100000010010000000000000 '0.1111111111111111 '000000000000004000000000000000000000000000000040
3 11 4 1 1.0 '000000100000100000100000000 '0.1111111111111111 '000000000000004000000000000000800000000000000040
3 3 5 3 1.0 '011101011001011000000000000 '0.3333333333333333 '000000000000006000000000000000800000000000000000
3 6 6 3 1.0 '011100000001011101000000010 '0.3333333333333333 '000000000000004000000000000000200000000000000000
3 8 7 4 1.0909090909090908 '021000000100100110111101000 '0.4074074074074074 '0000000000000000000000000000000000000000000000c0
3 4 8 4 1.5 '022002002100000010000101000 '0.2962962962962963 '000000000000004000000000000000800000000000000080
3 5 9 4 1.5 '022000000102002010000101000 '0.2962962962962963 '000000000000004000000000000000000000000000000080
3 7 10 5 1.1538461538461537 '011000000101100120011102110 '0.48148148148148145 '000000000000000000000000000000800000000000000080
3 9 11 18 2.8421052631578947 '032000000311111471045325424 '0.7037037037037037 '000000000000000000000000000000800000000000000040
4 0 0 1 1.0 '100110010000000000000000000 '0.14814814814814814 '000000000000001000000000000000a000000000000000400000000000000080
4 1 1 1 1.0 '100110000000010000000000000 '0.14814814814814814 '000000000000001000000000000000a000000000000000400000000000000000
4 2 2 1 1.0 '100100010000010000000000000 '0.14814814814814814 '0000000000000030000000000000008000000000000000800000000000000000
4 3 3 1 1.0 '100100000010010000000000000 '0.14814814814814814 '0000000000000020000000000000008000000000000000000000000000000020
4 4 4 1 1.0 '100100000000010001000000000 '0.14814814814814814 '0000000000000010000000000000008000000000000000000000000000000020
4 14 5 1 1.0 '010000000001100100000000000 '0.14814814814814814 '0000000000000040000000000000002000000000000000000000000000000020
4 17 6 1 1.0 '010000000000000010010100000 '0.14814814814814814 '0000000000000000000000000000008000000000000000900000000000000040
4 21 7 1 1.0 '010000000000000010010000100 '0.14814814814814814 '0000000000000000000000000000008000000000000000400000000000000040
4 23 8 1 1.0 '001000000000000000001001010 '0.14814814814814814 '0000000000000000000000000000000000000000000000c00000000000000040
4 24 9 1 1.0 '001000000000000000001001001 '0.14814814814814814 '0000000000000000000000000000000000000000000000900000000000000040
4 25 10 1 1.0 '000100010010010000000000000 '0.14814814814814814 '0000000000000060000000000000008000000000000000000000000000000020
4 26 11 1 1.0 '000100000010010001000000000 '0.14814814814814814 '0000000000000040000000000000002000000000000000000000000000000040
4 27 12 1 1.0 '000000100000100100100000000 '0.14814814814814814 '0000000000000040000000000000008000000000000000000000000000000060
4 7 13 2 1.0 '011001001100000010000101000 '0.2962962962962963 '0000000000000040000000000000008000000000000000800000000000000080
4 10 14 2 1.0 '011000000101001010000101000 '0.2962962962962963 '0000000000000040000000000000000000000000000000800000000000000080
4 15 15 2 1.0 '011000000001001100001001010 '0.2962962962962963 '0000000000000040000000000000002000000000000000100000000000000000
4 19 16 2 1.0 '011000000100100110100001000 '0.2962962962962963 '00000000000000000000000000000000000000000000004000000000000000a0
4 6 17 3 1.0 '011101011001011101000000010 '0.4444444444444444 '0000000000000060000000000000008000000000000000100000000000000000
4 16 18 3 1.0909090909090908 '011000000201100110101101000 '0.4074074074074074 '00000000000000000000000000000000000000000000008000000000000000c0
4 28 19 3 1.0909090909090908 '000000000101100110011002111 '0.4074074074074074 '0000000000000000000000000000002000000000000000800000000000000020
4 8 20 3 1.2 '021001002100000010011101000 '0.37037037037037035 '00000000000000400000000000000080000000000000000000000000000000a0
4 12 21 3 1.2 '021000000102001010011101000 '0.37037037037037035 '00000000000000400000000000000000000000000000000000000000000000a0
4 20 22 4 1.4545454545454546 '031000000200000120021111100 '0.4074074074074074 '0000000000000000000000000000000000000000000000c00000000000000020
4 5 23 4 1.6 '022002002102002010000101000 '0.37037037037037035 '0000000000000060000000000000008000000000000000000000000000000080
4 11 24 4 1.6 '022000000102002210000101020 '0.37037037037037035 '0000000000000040000000000000002000000000000000000000000000000080
4 30 25 4 1.6 '000000000000001120022102221 '0.37037037037037035 '0000000000000000000000000000002000000000000000800000000000000080
4 18 26 4 1.7777777777777777 '022000000200000130000212100 '0.3333333333333333 '0000000000000000000000000000008000000000000000800000000000000040
4 9 27 5 1.6666666666666667 '032002003100000130010111100 '0.4444444444444444 '0000000000000040000000000000008000000000000000800000000000000020
4 13 28 5 1.6666666666666667 '032000000103002130010111100 '0.4444444444444444 '0000000000000040000000000000000000000000000000800000000000000020
4 22 29 5 1.8181818181818181 '014000000201100230010002201 '0.4074074074074074 '0000000000000000000000000000008000000000000000400000000000000020
4 29 30 10 2.857142857142857 '000000000201101340027214426 '0.5185185185185185 '0000000000000000000000000000002000000000000000800000000000000040
5 0 0 1 1.0 '100110010000010000000000000 '0.18518518518518517 '000000000000001800000000000000a0000000000000004000000000000000800000000000000000
5 1 1 1 1.0 '100110000010010000000000000 '0.18518518518518517 '000000000000001000000000000000a0000000000000004000000000000000000000000000000010
5 2 2 1 1.0 '100110000000010001000000000 '0.18518518518518517 '000000000000000800000000000000a0000000000000004000000000000000000000000000000010
5 3 3 1 1.0 '100100010010010000000000000 '0.18518518518518517 '00000000000000300000000000000080000000000000008000000000000000000000000000000010
5 4 4 1 1.0 '100100010000010001000000000 '0.18518518518518517 '00000000000000280000000000000080000000000000008000000000000000000000000000000010
5 5 5 1 1.0 '100100000010010001000000000 '0.18518518518518517 '00000000000000100000000000000080000000000000000000000000000000200000000000000010
5 10 6 1 1.0 '010000001001100100000000000 '0.18518518518518517 '00000000000000600000000000000080000000000000001000000000000000000000000000000010
5 13 7 1 1.0 '010000001000000010010100000 '0.18518518518518517 '00000000000000400000000000000080000000000000008000000000000000880000000000000020
5 15 8 1 1.0 '011000001100000010000000000 '0.18518518518518517 '00000000000000200000000000000000000000000000008000000000000000400000000000000090
5 17 9 1 1.0 '010000001000000010010000100 '0.18518518518518517 '00000000000000400000000000000080000000000000008000000000000000200000000000000020
5 21 10 1 1.0 '010000000001000010010100000 '0.18518518518518517 '00000000000000400000000000000000000000000000008000000000000000880000000000000020
5 27 11 1 1.0 '011000000101000010000000000 '0.18518518518518517 '00000000000000200000000000000000000000000000000000000000000000400000000000000090
5 29 12 1 1.0 '010000000001000010010000100 '0.18518518518518517 '00000000000000400000000000000000000000000000008000000000000000200000000000000020
5 31 13 1 1.0 '010000000001100100100000000 '0.18518518518518517 '00000000000000400000000000000020000000000000000000000000000000000000000000000030
5 32 14 1 1.0 '010000000001100100000001000 '0.18518518518518517 '00000000000000400000000000000020000000000000001000000000000000000000000000000020
5 33 15 1 1.0 '011000000001000100000001000 '0.18518518518518517 '00000000000000000000000000000020000000000000001000000000000000080000000000000080
5 35 16 1 1.0 '011000000100000010000100000 '0.18518518518518517 '000000000000000000000000000000000000000000000040000000000000008000000000000000a0
5 36 17 1 1.0 '010000000100000010010100000 '0.18518518518518517 '000000000000000000000000000000000000000000000090000000000000000800000000000000c0
5 39 18 1 1.0 '010000000000000010010100100 '0.18518518518518517 '00000000000000000000000000000080000000000000009000000000000000400000000000000040
5 40 19 1 1.0 '010000000000000010010110000 '0.18518518518518517 '00000000000000000000000000000080000000000000009000000000000000400000000000000020
5 43 20 1 1.0 '011001000100000010000000000 '0.18518518518518517 '00000000000000200000000000000000000000000000008000000000000000800000000000000050
5 44 21 1 1.0 '011000000100001010000000000 '0.18518518518518517 '00000000000000000000000000000020000000000000000000000000000000400000000000000090
5 45 22 1 1.0 '011000000100000010000001000 '0.18518518518518517 '000000000000000000000000000000000000000000000040000000000000004000000000000000a0
5 47 23 1 1.0 '010000000100000010010000100 '0.18518518518518517 '00000000000000000000000000000000000000000000001000000000000000c00000000000000010
5 49 24 1 1.0 '010000000000000010010000101 '0.18518518518518517 '00000000000000000000000000000080000000000000001000000000000000400000000000000040
5 51 25 1 1.0 '001001000000000000001001010 '0.18518518518518517 '00000000000000400000000000000080000000000000000000000000000000a00000000000000020
5 52 26 1 1.0 '001001000000000000001001001 '0.18518518518518517 '00000000000000400000000000000080000000000000000000000000000000880000000000000020
5 53 27 1 1.0 '001000000100000000001001010 '0.18518518518518517 '00000000000000000000000000000080000000000000000000000000000000a00000000000000020
5 54 28 1 1.0 '001000000100000000001001001 '0.18518518518518517 '00000000000000000000000000000080000000000000000000000000000000200000000000000090
5 56 29 1 1.0 '001000000000001000001001010 '0.18518518518518517 '00000000000000400000000000000020000000000000001000000000000000000000000000000090
5 57 30 1 1.0 '001000000000001000001001001 '0.18518518518518517 '00000000000000400000000000000000000000000000000000000000000000880000000000000020
5 58 31 1 1.0 '001000000000100100100001000 '0.18518518518518517 '00000000000000000000000000000000000000000000008000000000000000200000000000000050
5 59 32 1 1.0 '001000000000000100001001010 '0.18518518518518517 '00000000000000000000000000000000000000000000001000000000000000c00000000000000040
5 60 33 1 1.0 '001000000000000100001001001 '0.18518518518518517 '00000000000000000000000000000000000000000000009000000000000000400000000000000020
5 61 34 1 1.0 '001000000000000000001001011 '0.18518518518518517 '00000000000000000000000000000000000000000000009000000000000000400000000000000010
5 62 35 1 1.0 '001000000000000000001001101 '0.18518518518518517 '00000000000000000000000000000000000000000000009000000000000000080000000000000040
5 63 36 1 1.0 '000100010010010001000000000 '0.18518518518518517 '00000000000000600000000000000080000000000000001000000000000000000000000000000020
5 64 37 1 1.0 '000000100001100100100000000 '0.18518518518518517 '00000000000000400000000000000080000000000000000000000000000000600000000000000020
5 65 38 1 1.0 '000000100000100100100001000 '0.18518518518518517 '00000000000000400000000000000080000000000000000000000000000000480000000000000020
5 68 39 1 1.0 '000000000001100100100001000 '0.18518518518518517 '000000000000000000000000000000000000000000000040000000000000002000000000000000a0
5 71 40 1 1.0 '000000000000100100101001000 '0.18518518518518517 '000000000000000000000000000000000000000000000010000000000000004000000000000000a0
5 6 41 2 1.0 '011001001101001010000101000 '0.37037037037037035 '00000000000000600000000000000080000000000000000000000000000000800000000000000080
5 11 42 2 1.0 '011001001001001100001001010 '0.37037037037037035 '00000000000000600000000000000080000000000000001000000000000000080000000000000000
5 19 43 2 1.0 '011000000101001110000101010 '0.37037037037037035 '00000000000000400000000000000020000000000000000000000000000000800000000000000080
5 72 44 2 1.0 '000000000000001110011101111 '0.37037037037037035 '00000000000000000000000000000080000000000000001000000000000000800000000000000040
5 12 45 2 1.1111111111111112 '011001001200000010001101000 '0.3333333333333333 '000000000000004000000000000000800000000000000000000000000000008000000000000000a0
5 20 46 2 1.1111111111111112 '011000000201001010001101000 '0.3333333333333333 '000000000000004000000000000000000000000000000000000000000000008000000000000000a0
5 34 47 2 1.1111111111111112 '011000000001001100002001011 '0.3333333333333333 '00000000000000400000000000000020000000000000001000000000000000080000000000000000
5 37 48 2 1.1111111111111112 '011000000200000110001101100 '0.3333333333333333 '00000000000000000000000000000080000000000000000000000000000000a00000000000000010
5 41 49 2 1.1111111111111112 '011000000100000120000111100 '0.3333333333333333 '00000000000000000000000000000080000000000000008000000000000000400000000000000020
5 55 50 2 1.1111111111111112 '002000000101100110010001100 '0.3333333333333333 '00000000000000000000000000000080000000000000001000000000000000400000000000000010
5 38 51 2 1.25 '011000000200000020001111000 '0.2962962962962963 '00000000000000000000000000000080000000000000000000000000000000a00000000000000040
5 69 52 2 1.25 '000000000001100100002002111 '0.2962962962962963 '00000000000000000000000000000020000000000000001000000000000000800000000000000020
5 25 53 2 1.4285714285714286 '020000000102000210010100000 '0.25925925925925924 '00000000000000400000000000000020000000000000000000000000000000000000000000000090
5 23 54 2 1.6666666666666667 '020000000002200210000100000 '0.2222222222222222 '00000000000000400000000000000020000000000000000000000000000000800000000000000020
5 46 55 2 1.6666666666666667 '022000000200000020010000100 '0.2222222222222222 '00000000000000000000000000000000000000000000001000000000000000480000000000000080
5 8 56 3 1.25 '021001002102001010011101000 '0.4444444444444444 '00000000000000600000000000000080000000000000000000000000000000000000000000000090
5 24 57 3 1.3636363636363635 '021000000102001210001102010 '0.4074074074074074 '00000000000000400000000000000020000000000000001000000000000000000000000000000080
5 48 58 3 1.3636363636363635 '012000000101100210002002101 '0.4074074074074074 '00000000000000000000000000000000000000000000001000000000000000c00000000000000020
5 50 59 3 1.6666666666666667 '012000000200000030011100202 '0.3333333333333333 '00000000000000000000000000000080000000000000001000000000000000400000000000000020
5 16 60 4 1.5384615384615385 '031001003200000120021111100 '0.48148148148148145 '00000000000000400000000000000080000000000000000000000000000000a00000000000000010
5 28 61 4 1.5384615384615385 '031000000203001120021111100 '0.48148148148148145 '00000000000000400000000000000000000000000000000000000000000000a00000000000000010
5 7 62 4 1.6666666666666667 '022002002102002210000101020 '0.4444444444444444 '00000000000000600000000000000080000000000000001000000000000000000000000000000080
5 70 63 4 1.6666666666666667 '000000000001100220023112221 '0.4444444444444444 '00000000000000000000000000000020000000000000001000000000000000800000000000000080
5 14 64 4 1.8181818181818181 '022002002200000130000212100 '0.4074074074074074 '00000000000000400000000000000080000000000000008000000000000000800000000000000020
5 22 65 4 1.8181818181818181 '022000000202002130000212100 '0.4074074074074074 '00000000000000400000000000000000000000000000008000000000000000800000000000000020
5 66 66 4 1.8181818181818181 '000000000200001120022102223 '0.4074074074074074 '00000000000000000000000000000020000000000000001000000000000000800000000000000010
5 9 67 5 1.7857142857142858 '032002003103002130010111100 '0.5185185185185185 '00000000000000600000000000000080000000000000000000000000000000800000000000000010
5 18 68 5 1.9230769230769231 '014004001201100230010002201 '0.48148148148148145 '00000000000000400000000000000080000000000000008000000000000000200000000000000010
5 26 69 5 1.9230769230769231 '032000000103002430010111120 '0.48148148148148145 '00000000000000400000000000000020000000000000000000000000000000800000000000000010
5 30 70 5 2.0833333333333335 '014000000202104230010002201 '0.4444444444444444 '00000000000000400000000000000000000000000000008000000000000000200000000000000010
