ordonne nbOccur taux indice
1 1 1.0 9
2 1 1.0 26
3 1 1.0 33
4 1 1.0 49
5 1 1.0 57
6 1 1.0 58
7 1 1.0 68
8 1 1.0 74
9 1 1.0 75
10 1 1.0 77
11 2 1.4 8
12 2 1.4 31
13 2 1.5555555555555556 17
14 2 1.5555555555555556 23
15 2 1.5555555555555556 61
16 2 1.5555555555555556 67
17 2 1.75 0
18 2 1.75 22
19 2 1.75 29
20 2 1.75 32
21 2 1.75 56
22 2 1.75 59
23 2 1.75 64
24 2 1.75 69
25 2 1.75 78
26 3 1.5 24
27 3 1.6153846153846154 25
28 3 1.75 47
29 3 1.75 71
30 3 1.9090909090909092 6
31 3 2.1 60
32 3 2.1 70
33 3 2.3333333333333335 63
34 3 2.3333333333333335 66
35 3 2.3333333333333335 76
36 4 1.8666666666666667 4
37 4 2.0 13
38 4 2.0 42
39 4 2.1538461538461537 28
40 4 2.1538461538461537 65
41 4 2.8 12
42 4 2.8 21
43 4 2.8 62
44 4 3.5 54
45 5 2.0588235294117645 3
46 5 2.0588235294117645 44
47 5 2.5 27
48 5 2.6923076923076925 30
49 5 3.1818181818181817 7
50 6 2.3333333333333335 52
51 6 2.4705882352941178 46
52 6 2.625 1
53 6 2.8 39
54 7 2.8823529411764706 2
55 7 3.2666666666666666 43
56 8 3.7333333333333334 50
57 8 4.0 73
58 9 3.3157894736842106 45
59 9 3.5 53
60 9 3.9375 55
61 9 4.2 37
62 9 4.5 16
63 10 3.888888888888889 11
64 10 4.117647058823529 10
65 10 4.117647058823529 15
66 10 4.117647058823529 19
67 10 4.375 40
68 10 5.0 20
69 12 4.666666666666667 18
70 12 4.666666666666667 35
71 12 5.25 41
72 12 5.6 14
73 16 7.466666666666667 72
74 17 6.611111111111111 5
75 18 6.631578947368421 48
76 18 7.875 51
77 19 7.388888888888889 36
78 29 11.941176470588236 38
79 30 11.666666666666666 34
