ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
7 9 0 1 1.0 '1011010001100100000 '0000000000000008000000000000000400000000000000020000000000000008000000000000009600000000000000480000000000000028
7 26 1 1 1.0 '1001110101100000000 '0000000000000014000000000000000a000000000000001800000000000000a0000000000000006000000000000000800000000000000040
7 33 2 1 1.0 '1001010001110100000 '000000000000000400000000000000020000000000000008000000000000000e000000000000003000000000000000900000000000000050
7 49 3 1 1.0 '1000011001110100000 '000000000000004000000000000000a00000000000000058000000000000002400000000000000220000000000000012000000000000000c
7 57 4 1 1.0 '0110011001100100000 '00000000000000020000000000000004000000000000000600000000000000020000000000000002000000000000006000000000000000b8
7 58 5 1 1.0 '0110011001010100000 '000000000000000400000000000000020000000000000006000000000000000c000000000000001200000000000000b00000000000000068
7 68 6 1 1.0 '0010011001110100000 '000000000000004000000000000000b80000000000000040000000000000004400000000000000420000000000000012000000000000000c
7 74 7 1 1.0 '0000011001111100000 '00000000000000400000000000000082000000000000000a0000000000000006000000000000002400000000000000180000000000000070
7 75 8 1 1.0 '0000011001110110000 '0000000000000004000000000000000200000000000000140000000000000022000000000000000600000000000000a80000000000000058
7 77 9 1 1.0 '0000010001101100101 '0000000000000004000000000000000200000000000000020000000000000004000000000000000600000000000000980000000000000068
7 8 10 2 1.4 '1122021112100000000 '000000000000000800000000000000040000000000000012000000000000002000000000000000820000000000000042000000000000002c
7 31 11 2 1.4 '1111022002211000000 '0000000000000004000000000000000200000000000000040000000000000002000000000000000600000000000000a80000000000000058
7 17 12 2 1.5555555555555556 '1021120102200200000 '0000000000000002000000000000000c000000000000000200000000000000020000000000000042000000000000004000000000000000b8
7 23 13 2 1.5555555555555556 '1021021002201200000 '00000000000000020000000000000004000000000000000200000000000000020000000000000004000000000000004a00000000000000b4
7 61 14 2 1.5555555555555556 '0101022002120210000 '000000000000004000000000000000b00000000000000042000000000000004c000000000000001000000000000000120000000000000024
7 67 15 2 1.5555555555555556 '0011022112020200000 '000000000000006000000000000000800000000000000086000000000000000c000000000000001200000000000000300000000000000028
7 0 16 2 1.75 '2211022002200000000 '000000000000000200000000000000040000000000000008000000000000000c000000000000003200000000000000500000000000000088
7 22 17 2 1.75 '1021020022200200000 '00000000000000060000000000000008000000000000000200000000000000020000000000000042000000000000008000000000000000b8
7 29 18 2 1.75 '2002120102200200000 '000000000000000a0000000000000004000000000000001600000000000000200000000000000080000000000000006000000000000000a0
7 32 19 2 1.75 '2002021002201200000 '000000000000000200000000000000040000000000000002000000000000000e0000000000000010000000000000005000000000000000b0
7 56 20 2 1.75 '1001000200202000222 '000000000000004000000000000000a000000000000000580000000000000020000000000000002600000000000000080000000000000008
7 59 21 2 1.75 '0112022002020200000 '00000000000000040000000000000002000000000000000c000000000000000a000000000000003000000000000000a20000000000000054
7 64 22 2 1.75 '0020120022200200010 '00000000000000600000000000000082000000000000009c0000000000000020000000000000002000000000000000200000000000000040
