ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
6 20 0 1 1.0 '10010100001100100000 '00000000000000100000000000000008000000000000001c00000000000000a000000000000000600000000000000020
6 38 1 1 1.0 '10001010010010000010 '000000000000004000000000000000a00000000000000048000000000000000c00000000000000300000000000000010
6 39 2 1 1.0 '10001010010000010010 '000000000000004000000000000000a80000000000000044000000000000000400000000000000400000000000000030
6 56 3 1 1.0 '10000100001101100000 '000000000000004000000000000000a80000000000000054000000000000002000000000000000400000000000000020
6 59 4 1 1.0 '01100010010010000010 '00000000000000100000000000000020000000000000004c000000000000008400000000000000200000000000000030
6 60 5 1 1.0 '01100010010000000011 '000000000000002000000000000000100000000000000084000000000000004400000000000000040000000000000038
6 62 6 1 1.0 '01010010001010000010 '00000000000000100000000000000020000000000000005000000000000000ac00000000000000100000000000000010
6 64 7 1 1.0 '01001010010010000010 '0000000000000040000000000000008c0000000000000014000000000000002000000000000000400000000000000060
6 65 8 1 1.0 '01001010010000010010 '000000000000004000000000000000880000000000000014000000000000002800000000000000500000000000000020
6 69 9 1 1.0 '01000110011000000010 '000000000000004000000000000000a40000000000000050000000000000002000000000000000040000000000000048
6 72 10 1 1.0 '01000110001010000010 '000000000000004000000000000000ac0000000000000050000000000000002000000000000000400000000000000040
6 75 11 1 1.0 '01000011100010000010 '00000000000000600000000000000090000000000000008c000000000000004000000000000000200000000000000020
6 77 12 1 1.0 '01000010101010000010 '0000000000000060000000000000009c0000000000000080000000000000004000000000000000400000000000000040
6 80 13 1 1.0 '01000010011010000010 '000000000000004000000000000000ac0000000000000040000000000000000800000000000000500000000000000040
6 83 14 1 1.0 '01000010010010000011 '000000000000004000000000000000940000000000000010000000000000006800000000000000100000000000000040
6 89 15 1 1.0 '00110101011000000000 '000000000000002800000000000000140000000000000080000000000000004000000000000000840000000000000048
6 90 16 1 1.0 '00101010010010000010 '000000000000004000000000000000a80000000000000040000000000000000c00000000000000500000000000000010
6 91 17 1 1.0 '00101010010000010010 '000000000000004000000000000000a80000000000000044000000000000000800000000000000500000000000000020
6 92 18 1 1.0 '00100110010010000010 '000000000000006000000000000000800000000000000088000000000000000c00000000000000300000000000000010
6 94 19 1 1.0 '00100110001100100000 '000000000000004000000000000000b40000000000000048000000000000004000000000000000200000000000000040
6 96 20 1 1.0 '00100100011100100000 '00000000000000600000000000000080000000000000009c000000000000002000000000000000200000000000000020
6 97 21 1 1.0 '00100100001101100000 '000000000000004000000000000000b80000000000000044000000000000004000000000000000400000000000000020
6 98 22 1 1.0 '00100010011010000010 '00000000000000400000000000000088000000000000001c000000000000002000000000000000600000000000000020
6 100 23 1 1.0 '00100010010010000011 '000000000000004000000000000000900000000000000018000000000000006400000000000000200000000000000010
6 101 24 1 1.0 '00010110001100100000 '000000000000004000000000000000b0000000000000004c000000000000004000000000000000200000000000000020
6 102 25 1 1.0 '00010110001010100000 '000000000000004000000000000000b00000000000000048000000000000004400000000000000240000000000000018
6 103 26 1 1.0 '00010011001010000010 '000000000000006000000000000000900000000000000080000000000000004c00000000000000100000000000000010
6 104 27 1 1.0 '00010010011010000010 '000000000000004000000000000000a0000000000000004c000000000000000800000000000000300000000000000020
6 105 28 1 1.0 '00001110011000000010 '000000000000000c00000000000000080000000000000014000000000000002000000000000000c000000000000000a0
