ordonne nbOccur taux indice
1 1 1.0 12
2 1 1.0 13
3 1 1.0 18
4 1 1.0 20
5 1 1.0 22
6 1 1.0 23
7 1 1.0 25
8 1 1.0 26
9 1 1.0 31
10 1 1.0 33
11 1 1.0 34
12 1 1.0 35
13 1 1.0 37
14 2 1.25 28
15 2 1.25 29
16 2 1.4285714285714286 2
17 2 1.4285714285714286 15
18 2 1.4285714285714286 17
19 2 1.6666666666666667 19
20 2 1.6666666666666667 27
21 2 1.6666666666666667 36
22 3 1.3636363636363635 11
23 3 1.3636363636363635 16
24 3 1.875 32
25 3 2.142857142857143 30
26 3 2.142857142857143 38
27 4 1.8181818181818181 8
28 4 1.8181818181818181 14
29 5 1.5625 5
30 5 1.5625 6
31 5 1.7857142857142858 1
32 6 2.5 3
33 6 3.0 24
34 7 2.1875 7
35 7 2.9166666666666665 21
36 10 3.125 0
37 11 3.235294117647059 9
38 13 3.25 10
39 13 3.611111111111111 4
