ordonne nbOccur taux indice
1 1 1.0 1
2 1 1.0 2
3 1 1.0 14
4 1 1.0 15
5 1 1.0 16
6 1 1.0 17
7 1 1.0 18
8 1 1.0 29
9 1 1.0 35
10 1 1.0 36
11 1 1.0 42
12 1 1.0 44
13 1 1.0 48
14 1 1.0 49
15 1 1.0 50
16 2 1.5 12
17 2 1.5 19
18 2 1.5 46
19 2 1.7142857142857142 0
20 2 1.7142857142857142 6
21 2 1.7142857142857142 7
22 2 1.7142857142857142 8
23 2 1.7142857142857142 24
24 2 1.7142857142857142 34
25 2 1.7142857142857142 45
26 3 2.25 11
27 3 2.25 23
28 3 2.25 32
29 4 1.6 28
30 4 2.0 37
31 4 2.4 4
32 4 2.4 5
33 4 2.6666666666666665 10
34 4 3.0 13
35 4 3.0 47
36 5 2.142857142857143 52
37 5 2.5 9
38 5 3.0 3
39 6 2.4 25
40 6 2.4 41
41 6 3.0 31
42 7 2.8 40
43 7 3.230769230769231 51
44 8 2.6666666666666665 27
45 8 3.2 22
46 8 3.4285714285714284 39
47 9 3.0 43
48 9 3.6 21
49 10 4.0 33
50 14 5.6 53
51 15 5.625 38
52 18 6.352941176470588 26
53 20 7.5 20
54 25 9.375 30
