ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
6 1 0 1 1.0 '100110000010010001000000000 '000000000000004400000000000000a00000000000000040000000000000000400000000000000040000000000000098
6 2 1 1 1.0 '100100010010010001000000000 '000000000000006400000000000000800000000000000080000000000000000400000000000000040000000000000098
6 14 2 1 1.0 '011000000100000010010100000 '000000000000000400000000000000180000000000000018000000000000006400000000000000600000000000000090
6 15 3 1 1.0 '011000000100000010010000100 '0000000000000004000000000000000800000000000000040000000000000004000000000000004400000000000000b8
6 16 4 1 1.0 '011000000100000010000000101 '0000000000000004000000000000000800000000000000140000000000000020000000000000004400000000000000a8
6 17 5 1 1.0 '011000000001100100000001000 '000000000000000800000000000000040000000000000010000000000000002c00000000000000900000000000000050
6 18 6 1 1.0 '011000000001000100001001000 '00000000000000040000000000000008000000000000000c0000000000000004000000000000006000000000000000b0
6 29 7 1 1.0 '010000001001000010010100000 '000000000000007800000000000000800000000000000084000000000000008400000000000000800000000000000030
6 35 8 1 1.0 '010000000100000010010100100 '00000000000000600000000000000084000000000000009c000000000000002000000000000000200000000000000060
6 36 9 1 1.0 '010000000100000010010000101 '000000000000004000000000000000b80000000000000044000000000000004000000000000000400000000000000020
6 42 10 1 1.0 '010000000001000110010100000 '000000000000007000000000000000840000000000000084000000000000008800000000000000100000000000000060
6 44 11 1 1.0 '010000000000000010010100101 '0000000000000060000000000000008c0000000000000084000000000000000800000000000000500000000000000060
6 48 12 1 1.0 '001000000000001100001001010 '000000000000006000000000000000840000000000000098000000000000002000000000000000240000000000000048
6 49 13 1 1.0 '001000000000001000001001011 '000000000000006000000000000000840000000000000088000000000000000800000000000000340000000000000048
6 50 14 1 1.0 '000000100001100100100001000 '000000000000004000000000000000a00000000000000050000000000000002c00000000000000100000000000000010
6 12 15 2 1.5 '022000000201001020000101000 '000000000000000400000000000000380000000000000040000000000000004000000000000000440000000000000088
6 19 16 2 1.5 '011000200001200200200001000 '000000000000002000000000000000100000000000000088000000000000004400000000000000240000000000000018
