ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
4 5 0 2 1.6 '002020021001000000000000000000000000000000000000000000000000000000 '0000000000000060000000000000009000000000000000800000000000000040
4 1 1 3 1.0 '111101110101101000000000000000000001000000000000000000000000000000 '0000000000000020000000000000002000000000000000d00000000000000020
4 0 2 5 1.25 '110102210201211000010000010010000011000000000000000000000000000000 '000000000000005000000000000000a000000000000000400000000000000080
4 3 3 6 1.3333333333333333 '221102210010012000010010110010000012000010000000000000000000000000 '0000000000000030000000000000002000000000000000c00000000000000080
4 4 4 15 1.2 '110100000010011100012100111212112111211111121112112001112111111112 '00000000000000100000000000000010000000000000001000000000000000e0
4 2 5 56 3.8620689655172415 '3314144300000632000662212625652862104741121872826726314826411411825 '00000000000000300000000000000010000000000000008000000000000000c0
5 7 0 1 1.0 '001110011000000000000000000000000000000000000000000000000000000000 '00000000000000300000000000000010000000000000008800000000000000c00000000000000020
5 8 1 1 1.0 '001110010001000000000000000000000000000000000000000000000000000000 '00000000000000300000000000000010000000000000008000000000000000c80000000000000010
5 9 2 1 1.0 '001110010000000000000000010000000000000000000000000000000000000000 '00000000000000180000000000000030000000000000004000000000000000c00000000000000080
5 10 3 1 1.0 '001010011001000000000000000000000000000000000000000000000000000000 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 11 4 1 1.0 '000000000010000000000011100000000000000010000000000000000000000000 '00000000000000180000000000000008000000000000001000000000000000a000000000000000c0
5 5 5 2 1.0 '110001100000011000010000000010000011000000000000000000000000000000 '0000000000000030000000000000002800000000000000c000000000000000800000000000000040
5 1 6 5 1.4705882352941178 '221102210201212000010000010010000012000000000000000000000000000000 '0000000000000028000000000000002000000000000000d000000000000000200000000000000080
5 0 7 10 2.0 '220204420402422100021100021121100022200000010000000000000000000000 '000000000000002800000000000000080000000000000090000000000000002000000000000000c0
5 4 8 10 2.1739130434782608 '442204420000024100021100021121100024200000010000000000000000000000 '00000000000000180000000000000010000000000000000800000000000000c000000000000000a0
5 3 9 13 1.911764705882353 '110103210000031000022000010111032052310000430302202101302100100201 '000000000000002800000000000000180000000000000080000000000000004000000000000000c0
5 2 10 27 2.4545454545454546 '220202210010032200034210132333244253521111452424324102424211211423 '000000000000001800000000000000080000000000000008000000000000008000000000000000e0
5 6 11 43 4.056603773584905 '220200000000042200046211142444288484642211884848637224848422422846 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
