ordonne nbOccur taux
1 2 1.1111111111111112
2 2 1.25
3 2 1.4285714285714286
4 2 1.4285714285714286
5 2 1.4285714285714286
6 2 1.6666666666666667
7 2 1.6666666666666667
8 2 1.6666666666666667
9 3 1.5
10 3 2.142857142857143
11 3 2.142857142857143
12 4 1.4285714285714286
13 4 1.4285714285714286
14 5 1.9230769230769231
15 5 2.0833333333333335
16 7 2.5
17 7 2.5
18 8 2.5
19 8 2.857142857142857
20 9 2.3684210526315788
21 9 2.3684210526315788
22 10 2.6315789473684212
23 10 2.6315789473684212
24 11 2.75
25 11 3.6666666666666665
26 12 3.75
27 17 4.25
28 22 5.5
29 23 5.75
